Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA
Date,,,,,,,,,,,,,,,
2025-07-21,211.64036560058594,506.01812744140625,171.1520538330078,214.92732845073886,508.0320701704435,173.1493936504508,210.7937335563828,501.54385636100875,170.77255439137573,211.2618775331451,502.69466780228106,172.52022673163836,51377400,14066800,123126100
2025-07-22,213.55279541015625,501.26611328125,166.80783081054688,214.1006251327807,507.1491456054249,171.1620321483939,211.39137195770533,501.26611328125,164.3610926233022,212.29777975345726,506.92095727911294,171.1120956061046,46404100,13868600,193114300
2025-07-23,213.30377197265625,501.861328125,170.5528564453125,214.29982043425818,502.77405108780124,171.03221376466186,211.57065737650467,496.7323137246232,167.7465962646817,214.15041924441525,502.7343595827018,169.30451898143798,46989300,16396600,154082200
2025-07-24,212.91531372070312,506.8316345214844,173.50892639160156,214.83769515517375,509.5995039044367,173.5988030318276,212.68622683006964,503.27998658866585,171.07216922217725,213.05475989741393,504.73833906736274,172.21065238052367,46022600,16107000,128984600
2025-07-25,213.03485107421875,509.63922119140625,173.26922607421875,214.38947759784276,514.1828842249572,174.4876045602178,212.5567368669443,506.3157313206406,172.72995103806022,213.85160291428238,508.4089964805577,173.37908037175941,40268800,19125700,122316800
2025-07-28,213.2041778564453,508.4388122558594,176.51490783691406,214.00101967144602,510.91900158393673,176.7645753161742,212.2180844005514,506.07766717141,173.73860668662087,213.18425263148458,510.0063088656235,173.78854323017163,37858000,14308000,140023500
2025-07-29,210.43516540527344,508.5082702636719,175.2765350341797,213.96117031669576,513.5182406496896,179.14139760883538,209.9869466315705,507.50626407616875,174.7871965738649,213.33365491441555,511.4448362580723,177.72328828972238,51411700,16469200,154077500
2025-07-30,208.2239227294922,509.1729431152344,179.03155517578125,211.55072076453234,511.86149016920456,179.65072563032518,206.89917652304968,505.4030674134904,175.80584046425426,211.06265157316113,511.08764202727673,176.27521653092245,45512500,26380400,174312200
2025-07-31,206.74978637695312,529.2723388671875,177.6334228515625,209.01080544085684,551.0484106553389,183.0562087176856,206.3414028602417,527.6850421089878,175.69600066981488,207.66614913739534,550.8301225339796,182.6567315862202,80698400,51617300,221685400
